tratamento;especie;rep;forrageamento
t1;balzani;r1;8
t1;balzani;r2;11
t1;balzani;r3;12
t1;balzani;r4;9
t1;balzani;r5;11
t1;balzani;r6;13
t1;balzani;r1;7
t1;balzani;r2;10
t1;balzani;r3;6
t1;balzani;r4;7
t1;balzani;r5;10
t1;balzani;r6;8
t2;balzani;r1;1
t2;balzani;r2;2
t2;balzani;r3;2
t2;balzani;r4;2
t2;balzani;r5;3
t2;balzani;r6;2
t2;balzani;r1;2
t2;balzani;r2;1
t2;balzani;r3;1
t2;balzani;r4;1
t2;balzani;r5;2
t2;balzani;r6;1
t3;balzani;r1;3
t3;balzani;r2;5
t3;balzani;r3;3
t3;balzani;r4;4
t3;balzani;r5;6
t3;balzani;r6;4
t3;balzani;r1;5
t3;balzani;r2;4
t3;balzani;r3;3
t3;balzani;r4;4
t3;balzani;r5;5
t3;balzani;r6;3
t4;balzani;r1;10
t4;balzani;r2;12
t4;balzani;r3;18
t4;balzani;r4;14
t4;balzani;r5;17
t4;balzani;r6;20
t4;balzani;r1;14
t4;balzani;r2;17
t4;balzani;r3;20
t4;balzani;r4;12
t4;balzani;r5;13
t4;balzani;r6;20
t5;balzani;r1;9
t5;balzani;r2;13
t5;balzani;r3;16
t5;balzani;r4;10
t5;balzani;r5;14
t5;balzani;r6;15
t5;balzani;r1;10
t5;balzani;r2;11
t5;balzani;r3;13
t5;balzani;r4;11
t5;balzani;r5;10
t5;balzani;r6;14
t6;balzani;r1;8
t6;balzani;r2;11
t6;balzani;r3;12
t6;balzani;r4;9
t6;balzani;r5;12
t6;balzani;r6;13
t6;balzani;r1;6
t6;balzani;r2;7
t6;balzani;r3;13
t6;balzani;r4;7
t6;balzani;r5;8
t6;balzani;r6;11
t7;balzani;r1;2
t7;balzani;r2;3
t7;balzani;r3;1
t7;balzani;r4;2
t7;balzani;r5;3
t7;balzani;r6;1
t7;balzani;r1;3
t7;balzani;r2;2
t7;balzani;r3;2
t7;balzani;r4;1
t7;balzani;r5;3
t7;balzani;r6;2
t8;balzani;r1;2
t8;balzani;r2;2
t8;balzani;r3;1
t8;balzani;r4;2
t8;balzani;r5;2
t8;balzani;r6;1
t8;balzani;r1;3
t8;balzani;r2;2
t8;balzani;r3;1
t8;balzani;r4;1
t8;balzani;r5;2
t8;balzani;r6;1
t1;rugosus;r1;12
t1;rugosus;r2;12
t1;rugosus;r3;13
t1;rugosus;r4;11
t1;rugosus;r5;13
t1;rugosus;r6;12
t1;rugosus;r7;12
t1;rugosus;r8;12
t1;rugosus;r9;13
t1;rugosus;r10;11
t1;rugosus;r11;12
t1;rugosus;r12;13
t1;rugosus;r1;13
t1;rugosus;r2;11
t1;rugosus;r3;10
t1;rugosus;r4;12
t1;rugosus;r5;11
t1;rugosus;r6;13
t1;rugosus;r7;12
t1;rugosus;r8;11
t1;rugosus;r9;13
t1;rugosus;r10;11
t1;rugosus;r11;10
t1;rugosus;r12;9
t2;rugosus;r1;3
t2;rugosus;r2;4
t2;rugosus;r3;2
t2;rugosus;r4;2
