bioma,parcela,area
Cerrado,p1,23
Cerrado,p2,23
Cerrado,p3,30.2
Cerrado,p4,30.2
Cerrado,p5,29.12333333
Cerrado,p6,29.12333333
Cerrado,p7,19.36666667
Cerrado,p8,19.36666667
Cerrado,p9,2.333333333
Cerrado,p10,2.333333333
Cerrado,p11,17.41654572
Cerrado,p12,17.41654572
Cerrado,p13,17.41654572
Cerrado,p14,17.41654572
Cerrado,p15,17.41654572
Cerrado,p16,9.155413138
Cerrado,p17,9.155413138
Cerrado,p18,9.155413138
Cerrado,p19,9.155413138
Cerrado,p20,9.155413138
M_atla,p21,11.25
M_atla,p22,5.4
M_atla,p23,5.4
M_atla,p24,5.4
M_atla,p25,2.4
M_atla,p26,2.4
M_atla,p27,2.4
M_atla,p28,1.62
M_atla,p29,1.62
M_atla,p30,1.62
M_atla,p31,2.16
M_atla,p32,2.16
M_atla,p33,1.68
M_atla,p34,1.68
M_atla,p35,6.06
M_atla,p36,6.06
M_atla,p37,2.43
M_atla,p38,2.43
M_atla,p39,0.6156
M_atla,p40,0.588
M_atla,p41,1.32
M_atla,p42,5.25
M_atla,p43,2.46
M_atla,p44,2.7816
M_atla,p45,2.7972
M_atla,p46,1.0575
M_atla,p47,1.3536
M_atla,p48,6.72
M_atla,p49,3.6
M_atla,p50,3.6
M_atla,p51,3.6
M_atla,p52,8.85
M_atla,p53,8.85
M_atla,p54,8.85
M_atla,p55,4.68
M_atla,p56,4.68
M_atla,p57,4.68
M_atla,p58,1.05
M_atla,p59,1.05
M_atla,p60,1.05
M_atla,p61,1.77
M_atla,p62,1.77
M_atla,p63,1.77
Pampa,p64,100.6993007
Pampa,p65,100.6993007
Pampa,p66,100.6993007
Pampa,p67,210.5263158
Pampa,p68,210.5263158
Pampa,p69,210.5263158
Pampa,p70,176.8421053
Pampa,p71,176.8421053
Pampa,p72,176.8421053
Pampa,p73,372.2807018
Pampa,p74,372.2807018
Pampa,p75,372.2807018
Pampa,p76,435.2727273
Pampa,p77,435.2727273
Pampa,p78,435.2727273
Pampa,p79,48.00853485
Pampa,p80,48.00853485
Pampa,p81,48.00853485
Pampa,p82,58.82352941
Pampa,p83,58.82352941
Pampa,p84,58.82352941
Pampa,p85,97.14285714
Pampa,p86,97.14285714
Pampa,p87,78.92857143
Pampa,p88,78.92857143
Pampa,p89,120.7142857
Pampa,p90,120.7142857
Pampa,p91,301.754386
Pampa,p92,301.754386
Pampa,p93,301.754386
Pampa,p94,94.73684211
Pampa,p95,94.73684211
Pampa,p96,94.73684211
