"bradysia","area","mes"
81,"MJC",4
31,"MJC",4
29,"MJC",4
5,"MJC",4
69,"MJC",4
57,"MJC",4
62,"MJC",4
26,"MJC",4
105,"MJC",4
27,"MJC",4
10,"MJC",4
47,"MJC",4
50,"MJC",4
67,"MJC",4
81,"MJC",4
31,"MJC",4
59,"MJC",4
47,"MJC",4
36,"MJC",4
45,"MJC",4
83,"MJC",4
23,"MJC",4
72,"MJC",4
44,"MJC",4
8,"MJC",4
24,"MJC",4
46,"MJC",4
6,"MJC",4
69,"MJC",4
88,"MJC",4
27,"MJC",4
43,"MJC",4
77,"MJC",4
20,"MJC",4
56,"MJC",4
20,"MJC",4
27,"MJC",4
88,"MJC",4
46,"MJC",4
3,"MJC",4
64,"MJC",4
5,"MJC",4
21,"MJC",4
10,"MJC",4
31,"MJC",4
51,"MJC",4
55,"MJC",4
44,"MJC",4
18,"MJC",4
13,"MJC",4
4,"MJC",4
15,"MJC",4
3,"MJC",4
10,"MJC",4
73,"MJC",4
23,"MJC",4
68,"MJC",4
66,"MJC",4
33,"MJC",4
50,"MJC",4
15,"MJC",4
5,"MJC",4
37,"MJC",4
132,"MJC",4
48,"MJC",4
22,"MJC",4
66,"MJC",4
14,"MJC",4
20,"MJC",4
2,"MJC",4
37,"MJC",4
55,"MJC",4
33,"MJC",4
51,"MJC",4
25,"CV",4
6,"CV",4
16,"CV",4
3,"CV",4
24,"CV",4
32,"CV",4
30,"CV",4
86,"CV",4
0,"CV",4
7,"CV",4
35,"CV",4
28,"CV",4
10,"CV",4
9,"CV",4
15,"CV",4
38,"CV",4
24,"CV",4
16,"CV",4
3,"CV",4
10,"CV",4
2,"CV",4
8,"CV",4
43,"CS",4
126,"CS",4
117,"CS",4
115,"CS",4
171,"CS",4
88,"CS",4
34,"CS",4
129,"CS",4
51,"CS",4
43,"CS",4
24,"CS",4
73,"CS",4
17,"CS",4
47,"CS",4
43,"CS",4
8,"CS",4
24,"CS",4
51,"CS",4
62,"CS",4
116,"CS",4
14,"CS",4
43,"CS",4
0,"CS",4
24,"CS",4
52,"CS",4
112,"CS",4
25,"CS",4
46,"CS",4
17,"CS",4
9,"CS",4
78,"CS",4
47,"CS",4
50,"CS",4
117,"CS",4
95,"CS",4
57,"CS",4
6,"CS",4
12,"CS",4
6,"CS",4
107,"CS",4
190,"CS",4
20,"CS",4
14,"CS",4
25,"CS",4
50,"CS",4
6,"CS",4
35,"CS",4
129,"CS",4
48,"CS",4
31,"CS",4
158,"CS",4
62,"CS",4
21,"CS",4
102,"CS",4
6,"CS",4
79,"CS",4
46,"CS",4
58,"CS",4
85,"CS",4
80,"CS",4
20,"CS",4
133,"CS",4
56,"CS",4
34,"MJC",5
13,"MJC",5
79,"MJC",5
38,"MJC",5
22,"MJC",5
4,"MJC",5
27,"MJC",5
2,"MJC",5
5,"MJC",5
2,"MJC",5
7,"MJC",5
5,"MJC",5
12,"MJC",5
2,"MJC",5
27,"MJC",5
23,"MJC",5
10,"MJC",5
16,"MJC",5
38,"MJC",5
21,"MJC",5
26,"MJC",5
42,"MJC",5
72,"MJC",5
41,"MJC",5
8,"MJC",5
24,"MJC",5
5,"MJC",5
13,"MJC",5
53,"MJC",5
14,"MJC",5
46,"MJC",5
6,"MJC",5
69,"MJC",5
11,"MJC",5
14,"MJC",5
22,"MJC",5
39,"MJC",5
43,"MJC",5
27,"MJC",5
43,"MJC",5
65,"MJC",5
20,"MJC",5
56,"MJC",5
34,"MJC",5
41,"MJC",5
16,"MJC",5
59,"MJC",5
3,"MJC",5
35,"MJC",5
29,"MJC",5
31,"MJC",5
24,"MJC",5
25,"MJC",5
12,"MJC",5
36,"MJC",5
22,"MJC",5
4,"MJC",5
12,"MJC",5
23,"MJC",5
3,"MJC",5
35,"MJC",5
44,"MJC",5
18,"MJC",5
13,"MJC",5
40,"MJC",5
16,"MJC",5
15,"MJC",5
47,"MJC",5
0,"MJC",5
2,"MJC",5
1,"MJC",5
6,"MJC",5
0,"MJC",5
2,"MJC",5
7,"MJC",5
6,"MJC",5
11,"MJC",5
2,"MJC",5
12,"MJC",5
14,"MJC",5
6,"MJC",5
23,"MJC",5
5,"MJC",5
22,"MJC",5
81,"CV",5
150,"CV",5
158,"CV",5
221,"CV",5
25,"CV",5
28,"CV",5
41,"CV",5
22,"CV",5
43,"CV",5
72,"CV",5
33,"CV",5
46,"CV",5
18,"CV",5
51,"CV",5
19,"CV",5
321,"CV",5
36,"CS",5
8,"CS",5
13,"CS",5
121,"CS",5
5,"CS",5
9,"CS",5
17,"CS",5
8,"CS",5
12,"CS",5
23,"CS",5
35,"CS",5
18,"CS",5
41,"CS",5
16,"CS",5
20,"CS",5
5,"CS",5
173,"CS",5
14,"CS",5
33,"CS",5
56,"CS",5
7,"CS",5
39,"CS",5
53,"CS",5
35,"CS",5
10,"CS",5
205,"CS",5
9,"CS",5
14,"CS",5
6,"CS",5
3,"CS",5
25,"CS",5
116,"CS",5
17,"CS",5
15,"CS",5
12,"CS",5
25,"CS",5
45,"CS",5
12,"CS",5
24,"CS",5
16,"CS",5
10,"CS",5
45,"CS",5
21,"CS",5
86,"CS",5
35,"CS",5
4,"CS",5
27,"CS",5
16,"CS",5
20,"CS",5
29,"CS",5
22,"CS",5
43,"CS",5
45,"CS",5
38,"CS",5
15,"CS",5
43,"CS",5
40,"CS",5
39,"CS",5
58,"CS",5
30,"CS",5
12,"CS",5
44,"CS",5
17,"CS",5
23,"CS",5
16,"CS",5
211,"CS",5
273,"CS",5
111,"CS",5
55,"CS",5
173,"CS",5
148,"CS",5
66,"CS",5
58,"CS",5
45,"CS",5
72,"CS",5
121,"CS",5
38,"CS",5
33,"CS",5
49,"CS",5
14,"MJC",6
29,"MJC",6
42,"MJC",6
15,"MJC",6
5,"MJC",6
32,"MJC",6
18,"MJC",6
8,"MJC",6
15,"MJC",6
19,"MJC",6
24,"MJC",6
23,"MJC",6
10,"MJC",6
12,"MJC",6
18,"MJC",6
8,"MJC",6
9,"MJC",6
5,"MJC",6
11,"MJC",6
8,"MJC",6
4,"MJC",6
10,"MJC",6
32,"MJC",6
6,"MJC",6
8,"MJC",6
9,"MJC",6
12,"MJC",6
14,"MJC",6
10,"MJC",6
16,"MJC",6
15,"MJC",6
5,"MJC",6
28,"MJC",6
18,"MJC",6
8,"MJC",6
11,"MJC",6
29,"MJC",6
40,"MJC",6
15,"MJC",6
5,"MJC",6
12,"MJC",6
18,"MJC",6
8,"MJC",6
9,"MJC",6
7,"MJC",6
22,"MJC",6
10,"MJC",6
20,"MJC",6
10,"MJC",6
67,"CV",6
28,"CV",6
55,"CV",6
42,"CV",6
20,"CV",6
35,"CV",6
77,"CS",6
34,"CS",6
96,"CS",6
83,"CS",6
80,"CS",6
176,"CS",6
65,"CS",6
103,"CS",6
17,"CS",6
9,"CS",6
58,"CS",6
44,"CS",6
30,"CS",6
25,"CS",6
12,"CS",6
35,"CS",6
24,"CS",6
21,"CS",6
5,"CS",6
10,"CS",6
16,"CS",6
9,"CS",6
25,"CS",6
16,"CS",6
46,"CS",6
12,"CS",6
173,"CS",6
16,"CS",6
