Year,Hymenoptera
1970,NA
1971,NA
1972,NA
1973,NA
1974,NA
1975,NA
1976,NA
1977,NA
1978,NA
1979,NA
1980,100
1981,96.1
1982,94.5
1983,97.3
1984,99.6
1985,100.7
1986,98.3
1987,96.2
1988,94.5
1989,93.4
1990,95.2
1991,95.7
1992,98.8
1993,100.7
1994,101.8
1995,102.8
1996,105.3
1997,104.5
1998,98.1
1999,95.7
2000,95.1
2001,94.4
2002,90.8
2003,88.9
2004,88
2005,90.7
2006,92.8
2007,93.5
2008,89.7
2009,82.9
2010,82.3
2011,84.9
2012,84.2
2013,83.2,168.4
2014,80.1,146.4
2015,78,220.7
2016,77.6,168.3
